"export-plots data (NetLogo 5.3.1)"
"iterated-prisoners-dilemma-ecosystem.nlogo"
"07/26/2016 13:37:53:065 -0500"

"MODEL SETTINGS"
"default-lifespan","range","reproduction-rate","mutation-chance","group-efficacy","greatest-complexity","evolve-chance","num-turtle","group-interaction"
"10","2","2","0.2","0.5","1","0.5","1","true"

"""players"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","0","409","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","100"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","2","0","true"
"2","4","0","true"
"3","7","0","true"
"4","10","0","true"
"5","16","0","true"
"6","19","0","true"
"7","24","0","true"
"8","32","0","true"
"9","37","0","true"
"10","40","0","true"
"11","49","0","true"
"12","58","0","true"
"13","67","0","true"
"14","61","0","true"
"15","61","0","true"
"16","69","0","true"
"17","78","0","true"
"18","81","0","true"
"19","97","0","true"
"20","104","0","true"
"21","119","0","true"
"22","117","0","true"
"23","121","0","true"
"24","120","0","true"
"25","122","0","true"
"26","130","0","true"
"27","131","0","true"
"28","133","0","true"
"29","131","0","true"
"30","128","0","true"
"31","132","0","true"
"32","135","0","true"
"33","135","0","true"
"34","141","0","true"
"35","154","0","true"
"36","153","0","true"
"37","164","0","true"
"38","168","0","true"
"39","179","0","true"
"40","176","0","true"
"41","186","0","true"
"42","178","0","true"
"43","178","0","true"
"44","189","0","true"
"45","182","0","true"
"46","171","0","true"
"47","168","0","true"
"48","174","0","true"
"49","176","0","true"
"50","179","0","true"
"51","192","0","true"
"52","208","0","true"
"53","219","0","true"
"54","241","0","true"
"55","235","0","true"
"56","227","0","true"
"57","241","0","true"
"58","243","0","true"
"59","245","0","true"
"60","259","0","true"
"61","264","0","true"
"62","262","0","true"
"63","273","0","true"
"64","264","0","true"
"65","294","0","true"
"66","300","0","true"
"67","298","0","true"
"68","301","0","true"
"69","307","0","true"
"70","307","0","true"
"71","296","0","true"
"72","295","0","true"
"73","309","0","true"
"74","312","0","true"
"75","312","0","true"
"76","312","0","true"
